"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"MNRO-OQ", "Cathy-DAmico", "2004-01-15", "2015-10-22", "37"
"MNST-OQ", "John-Van-Heel", "2010-10-21", "2010-10-21", "1"
"MNTA-OQ", "Hilton-Schlosberg", "2015-08-06", "2015-08-06", "1"
"MO-N", "Richard-Shea", "2005-02-10", "2015-11-04", "28"
"MO-N", "Billy-Gifford", "2015-04-23", "2015-10-29", "3"
"MO-N", "David-Beran", "2008-04-24", "2010-10-20", "11"
"MO-N", "Dinyar-Devitre", "2004-04-20", "2007-10-17", "14"
"MOD-N", "Howard-Willard", "2011-01-27", "2015-01-30", "16"
"MOD-N", "Brad-Richardson", "2004-01-22", "2009-10-29", "23"
"MODN-N", "Mick-Lucareli", "2010-07-29", "2013-10-31", "14"
"MOGN-OxB08", "Sujan-Jain", "2013-11-19", "2013-11-19", "1"
"MOGN-OxB08", "Bill-Brown", "2004-02-11", "2005-02-09", "5"
"MOGN-OxB08", "Bill-Spengler", "2004-08-09", "2007-10-17", "8"
"MOGa-N", "Jim-Hawley", "2005-04-13", "2006-04-19", "5"
"MOGa-N", "Dan-Fishback", "2011-01-31", "2015-11-06", "19"
"MOGa-N", "John-Scannell", "2008-01-25", "2010-11-04", "11"
"MOGa-N", "Phil-McStotts", "2004-07-29", "2006-10-31", "6"
"MOGa-N", "Phillip-McStotts", "2005-08-04", "2006-07-31", "3"
"MOH-N", "Robert-Banta", "2004-11-05", "2007-11-01", "13"
"MOLX-OxL13", "John-Molina", "2004-05-12", "2015-10-29", "46"
"MOLX-OxL13", "Bob-Mahoney", "2005-04-25", "2005-04-25", "1"
"MOLX-OxL13", "Dave-Johnson", "2005-09-08", "2013-10-23", "34"
"MON-N", "Diane-Bullock", "2004-04-15", "2004-10-20", "2"
"MON-N", "Carl-Casale", "2009-10-07", "2010-10-06", "5"
"MON-N", "Pierre-Courduroux", "2011-04-06", "2015-10-07", "19"
"MOS-N", "Terrell-Crews", "2004-01-07", "2009-06-24", "22"
"MOS-N", "Larry-Stranghoener", "2005-01-06", "2014-05-06", "37"
"MOS-N", "Reid-Porter", "2004-02-05", "2004-07-27", "3"
"MOV-N", "Rich-Mack", "2014-07-31", "2015-11-03", "5"
"MOV-N", "Gene-Karpovich", "2004-06-02", "2007-12-06", "12"
"MPAA-OQ", "Sallie-DeMarsilis", "2008-12-04", "2015-11-24", "17"
"MPAA-OQ", "David-Lee", "2008-02-11", "2015-08-10", "20"
"MPC-N", "Mervyn-McCulloch", "2006-02-14", "2007-08-09", "6"
"MPC-N", "Don-Templin", "2011-08-02", "2015-02-04", "14"
"MPSxA10", "Tim-Griffith", "2015-04-30", "2015-10-29", "3"
"MPW-N", "Bob-Crouch", "2004-02-04", "2009-07-29", "21"
"MPWR-OQ", "Steve-Hamner", "2006-05-12", "2015-11-05", "35"
"MPWR-OQ", "Meera-Rao", "2011-02-03", "2015-10-26", "19"
"MPWR-OQ", "Rick-Neely", "2005-10-26", "2010-11-03", "21"
"MRCY-OQ", "Tim-Cristoffersen", "2005-02-03", "2005-07-28", "2"
"MRCY-OQ", "Bob-Hult", "2004-04-15", "2012-01-24", "33"
"MRCY-OQ", "Gerry-Haines", "2014-10-28", "2015-10-27", "5"
"MRCY-OQ", "Joe-Hartnett", "2004-01-15", "2004-01-15", "1"
"MRK-N", "Kevin-Bisson", "2012-01-24", "2014-08-05", "11"
"MRK-N", "Bob-Bertolini", "2004-01-26", "2009-10-22", "24"
"MRK-N", "Judy-Lewent", "2005-10-24", "2007-07-23", "8"
"MRK-N", "Ken-Frazier", "2008-04-21", "2008-04-21", "1"
"MRK-N", "Peter-Kellogg", "2007-10-22", "2014-04-29", "26"
"MRO-N", "Rob-Davis", "2015-02-04", "2015-10-27", "4"
"MRO-N", "JR-Sult", "2014-02-06", "2015-11-05", "6"
"MROI-OxJ06", "Janet-Clark", "2004-01-27", "2013-05-08", "35"
"MRXxL12", "Peter-Rice", "2004-04-15", "2006-07-20", "10"
"MRXxL12", "Mark-Prygocki", "2004-04-29", "2008-02-27", "12"
"MS-N", "Rick-Peterson", "2008-05-08", "2012-08-08", "15"
"MS-N", "Colm-Kelleher", "2007-09-19", "2009-10-21", "9"
"MS-N", "Craig-Ferraro", "2004-05-06", "2004-05-06", "1"
"MS-N", "David-Sidwell", "2004-06-22", "2007-09-19", "14"
"MS-N", "Greg-Stockett", "2004-01-21", "2004-01-21", "1"
"MS-N", "Jane-Mody", "2007-05-08", "2007-05-08", "1"
